,Municipios,Eleccion1,Votos depositados,Votos Validos,PLC,AFSLN,YATAMA,ALN,APRE,APLI,Municipio,Winner
163,TIPITAPA,ALCALDE Y VICEALCALDE,52411,50306,4497,38842,0,2318,2165,2484,Tipitapa,AFSLN
164,VILLA EL CARMEN,ALCALDE Y VICEALCALDE,14139,13543,1276,10621,0,532,604,510,Villa El Carmen,AFSLN
165,CIUDAD SANDINO,CONCEJALES MUNICIPALES,34968,33539,3324,26596,0,1478,1275,866,Ciudad Sandino,AFSLN
166,EL CRUCERO,CONCEJALES MUNICIPALES,7538,7087,771,5675,0,256,233,152,El Crucero,AFSLN
167,MANAGUA,CONCEJALES MUNICIPALES,392481,376162,21554,325077,0,12960,9017,7554,Managua,AFSLN
168,MATEARE,CONCEJALES MUNICIPALES,16899,16227,1483,13231,0,633,530,350,Mateare,AFSLN
169,SAN FRANCISCO LIBRE,CONCEJALES MUNICIPALES,3908,3789,113,3485,0,106,48,37,San Francisco Libre,AFSLN
170,SAN RAFAEL DEL SUR,CONCEJALES MUNICIPALES,19985,19185,2656,14843,0,663,607,416,San Rafael del Sur,AFSLN
171,TICUANTEPE,CONCEJALES MUNICIPALES,14773,14090,1057,11606,0,568,509,350,Ticuantepe,AFSLN
172,TIPITAPA,CONCEJALES MUNICIPALES,52411,50311,3239,42546,0,1761,1514,1251,Tipitapa,AFSLN
173,VILLA EL CARMEN,CONCEJALES MUNICIPALES,14139,13543,954,11490,0,409,428,262,Villa El Carmen,AFSLN
174,CATARINA,ALCALDE Y VICEALCALDE,3526,3391,397,2684,0,151,0,159,Catarina,AFSLN
175,LA CONCEPCION,ALCALDE Y VICEALCALDE,12559,11906,1584,8494,0,649,581,598,La Concepción,AFSLN
176,MASATEPE,ALCALDE Y VICEALCALDE,13099,12326,1622,9398,0,723,0,583,Masatepe,AFSLN
177,MASAYA,ALCALDE Y VICEALCALDE,52895,50588,6938,35409,0,2905,2687,2649,Masaya,AFSLN
178,NANDASMO,ALCALDE Y VICEALCALDE,4534,4324,375,3511,0,229,0,209,Nandasmo,AFSLN
179,NINDIRI,ALCALDE Y VICEALCALDE,18366,17525,2408,12321,0,1137,840,819,Nindirí,AFSLN
180,NIQUINOHOMO,ALCALDE Y VICEALCALDE,7220,6840,643,5241,0,357,284,315,Niquinohomo,AFSLN
181,SAN JUAN DE ORIENTE,ALCALDE Y VICEALCALDE,2433,2305,487,1608,0,114,96,0,San Juan de Oriente,AFSLN
182,TISMA,ALCALDE Y VICEALCALDE,6188,5969,526,4574,0,295,276,298,Tisma,AFSLN
183,CATARINA,CONCEJALES MUNICIPALES,3526,3391,283,2920,0,112,0,76,Catarina,AFSLN
184,LA CONCEPCION,CONCEJALES MUNICIPALES,12559,11906,1137,9557,0,497,409,306,La Concepción,AFSLN
185,MASATEPE,CONCEJALES MUNICIPALES,13099,12326,1162,10316,0,546,0,302,Masatepe,AFSLN
186,MASAYA,CONCEJALES MUNICIPALES,52895,50588,4952,40208,0,2212,1880,1336,Masaya,AFSLN
187,NANDASMO,CONCEJALES MUNICIPALES,4534,4324,273,3779,0,172,0,100,Nandasmo,AFSLN
188,NINDIRI,CONCEJALES MUNICIPALES,18366,17525,1724,13920,0,870,590,421,Nindirí,AFSLN
189,NIQUINOHOMO,CONCEJALES MUNICIPALES,7220,6840,457,5755,0,273,201,154,Niquinohomo,AFSLN
190,SAN JUAN DE ORIENTE,CONCEJALES MUNICIPALES,2433,2305,359,1791,0,87,68,0,San Juan de Oriente,AFSLN
191,TISMA,CONCEJALES MUNICIPALES,6188,5969,383,5025,0,222,192,147,Tisma,AFSLN
192,CIUDAD DARIO,ALCALDE Y VICEALCALDE,14100,13565,2155,9831,0,798,0,781,Ciudad Darío,AFSLN
193,EL TUMA LA DALIA,ALCALDE Y VICEALCALDE,19464,18736,1891,15209,0,823,0,813,El Tuma - La Dalia,AFSLN
194,ESQUIPULAS,ALCALDE Y VICEALCALDE,5264,5024,1024,3318,0,226,243,213,Esquipulas,AFSLN
195,MATAGALPA,ALCALDE Y VICEALCALDE,57285,54602,4645,42738,0,2501,2357,2361,Matagalpa,AFSLN
196,MATIGUAS,ALCALDE Y VICEALCALDE,11210,10629,1713,7636,0,437,414,429,Matiguás,AFSLN
197,MUY MUY,ALCALDE Y VICEALCALDE,5472,5330,542,4064,0,253,237,234,Muy Muy,AFSLN
198,RANCHO GRANDE,ALCALDE Y VICEALCALDE,9580,9201,1236,6635,0,426,439,465,Rancho Grande,AFSLN
199,RIO BLANCO,ALCALDE Y VICEALCALDE,11552,11040,2040,7625,0,475,461,439,Río Blanco,AFSLN
200,SAN DIONISIO,ALCALDE Y VICEALCALDE,6761,6447,636,5188,0,0,324,299,San Dionisio,AFSLN
201,SAN ISIDRO,ALCALDE Y VICEALCALDE,5802,5622,782,4023,0,257,284,276,San Isidro,AFSLN
202,SAN RAMON,ALCALDE Y VICEALCALDE,11013,10579,1282,8229,0,22,524,522,San Ramón,AFSLN
203,SEBACO,ALCALDE Y VICEALCALDE,12310,11693,1973,8389,0,714,0,617,Sébaco,AFSLN
204,TERRABONA,ALCALDE Y VICEALCALDE,4697,4644,577,3395,0,221,242,209,Terrabona,AFSLN
205,WASLALA,ALCALDE Y VICEALCALDE,16643,15927,5018,8809,0,703,682,715,Waslala,AFSLN
206,CIUDAD DARIO,CONCEJALES MUNICIPALES,14100,13565,1544,11023,0,605,0,393,Ciudad Darío,AFSLN
207,ELTUMA LA DALIA,CONCEJALES MUNICIPALES,19464,18736,1365,16344,0,628,0,399,El Tuma - La Dalia,AFSLN
208,ESQUIPULAS,CONCEJALES MUNICIPALES,5264,5024,770,3802,0,175,172,105,Esquipulas,AFSLN
209,MATAGALPA,CONCEJALES MUNICIPALES,57285,54604,3386,46467,0,1909,1657,1185,Matagalpa,AFSLN
210,MATIGUAS,CONCEJALES MUNICIPALES,11173,10585,1291,8435,0,341,295,223,Matiguás,AFSLN
211,MUY MUY,CONCEJALES MUNICIPALES,5472,5330,390,4463,0,196,168,113,Muy Muy,AFSLN
212,RANCHO GRANDE,CONCEJALES MUNICIPALES,9580,9201,903,7427,0,322,306,243,Rancho Grande,AFSLN
213,RIO BLANCO,CONCEJALES MUNICIPALES,11552,11040,1523,8611,0,360,318,228,Río Blanco,AFSLN
214,SAN DIONISIO,CONCEJALES MUNICIPALES,6761,6447,452,5614,0,0,229,152,San Dionisio,AFSLN
215,SAN ISIDRO,CONCEJALES MUNICIPALES,5802,5622,567,4519,0,196,203,137,San Isidro,AFSLN
216,SAN RAMON,CONCEJALES MUNICIPALES,11013,10579,942,8955,0,44,371,267,San Ramón,AFSLN
217,SEBACO,CONCEJALES MUNICIPALES,12310,11693,1402,9431,0,545,0,315,Sébaco,AFSLN
218,TERRABONA,CONCEJALES MUNICIPALES,4697,4644,418,3780,0,167,172,107,Terrabona,AFSLN
219,WASLALA,CONCEJALES MUNICIPALES,16618,15785,3903,10480,0,537,481,384,Waslala,AFSLN
220,CIUDAD ANTIGUA,ALCALDE Y VICEALCALDE,3400,3284,1351,1683,0,85,77,88,Ciudad Antigua,AFSLN
221,DIPILTO,ALCALDE Y VICEALCALDE,1873,1735,155,1411,0,88,0,81,Dipilto,AFSLN
222,EL JICARO,ALCALDE Y VICEALCALDE,8725,8574,1096,6232,0,413,405,428,Jícaro,AFSLN
